Manufacturer,مصنع
Trading company,شركة تجارية
Buying office,مكتب مشتريات
Agent,وكيل
Distributor/Wholesalers,موزع / تجار الجملة
Government entity,هيئة حكومية
Association,جمعية
Business services,خدمات
Other,أخرى
