USD,دولار
EUR,يورو
AED,درهم إماراتي
SAR,ريال سعودي
OMR,ريال عماني
BHD,دينار بحريني
QAR,ريال قطري
KWD,دينار كويتي
JOD,دينار أردني
SYP,ليرة سورية
LBP,ليرة لبنانية
DZD,دينار جزائري
EGP,جنيه مصري
MAD,دينار مغربي
TND,دينار تونسي
LYD,دينار ليبي
Any,أخرى 
